"Part";"Value";"Device";"Package";"Description";"";
"U$1";"VERTICAL_MICRO_USBCUI_HOR_T4";"VERTICAL_MICRO_USBCUI_HOR_T4";"CUI_UJ2-MIBH-4-SMT-TR-67";"";"";
"U$2";"4X1.27MALE_HEADER";"4X1.27MALE_HEADER";"4X1.27MALE_HHEADER";"";"";
